"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","71","refundFailure()","","2026-07-11","failed","2026-07-11","","data.OrdersDataIT","data.OrdersDataIT","refundFailure"
"","2","builderStatesOnlyWhatTestCaresAbout()","","2026-07-11","passed","2026-07-11","","data.BuilderStructureTest","data.BuilderStructureTest","builderStatesOnlyWhatTestCaresAbout"
"","11","refundedBuilderCreatesRefundedOrder_fail()","","2026-07-11","failed","2026-07-11","","data.BuilderStructureTest","data.BuilderStructureTest","refundedBuilderCreatesRefundedOrder_fail"
"","2","refundedBuilderCreatesRefundedOrder()","","2026-07-11","passed","2026-07-11","","data.BuilderStructureTest","data.BuilderStructureTest","refundedBuilderCreatesRefundedOrder"
"","48","builderUsesSensibleDefaults()","","2026-07-11","passed","2026-07-11","","data.BuilderStructureTest","data.BuilderStructureTest","builderUsesSensibleDefaults"
"","76","flywaySeedsReferenceDataButNoOrders()","","2026-07-11","passed","2026-07-11","","data.OrdersDataIT","data.OrdersDataIT","flywaySeedsReferenceDataButNoOrders"
"","3","invalidBuilderDataFailsBeforeDatabaseSetup()","","2026-07-11","passed","2026-07-11","","data.BuilderStructureTest","data.BuilderStructureTest","invalidBuilderDataFailsBeforeDatabaseSetup"
"","124","countsOnlyThisTestsOrders()","","2026-07-11","passed","2026-07-11","","data.OrdersDataIT","data.OrdersDataIT","countsOnlyThisTestsOrders"
"","79","flywaySeedsReferenceDataButNoOrders_fail()","","2026-07-11","failed","2026-07-11","","data.OrdersDataIT","data.OrdersDataIT","flywaySeedsReferenceDataButNoOrders_fail"
"","64","factoryPersistsBuilderData()","","2026-07-11","passed","2026-07-11","","data.OrdersDataIT","data.OrdersDataIT","factoryPersistsBuilderData"
"","88","resetMakesTestsIndependent()","","2026-07-11","passed","2026-07-11","","data.OrdersDataIT","data.OrdersDataIT","resetMakesTestsIndependent"
